suburb,address,sale_date,sale_price,property_type,bedrooms,bathrooms,parking,land_size
Beverly Hills,4/541 King Georges Road,2026-09-11,1150000,Villa,3,2,1,195
Beverly Hills,8 Gungaroo Place,2026-09-01,2400000,House,5,2,3,349
Beverly Hills,5/14-16 Melvin Street,2026-08-27,780000,Apartment,2,1,1,105
Beverly Hills,123 Tallawalla Street,2026-08-22,1780000,House,4,2,2,556
Beverly Hills,21/13-17 Hampden Street,2026-08-21,770000,Apartment,2,1,1,missing
Beverly Hills,19/35-39 Hampden Street,2026-08-20,800000,Apartment,2,1,1,
Beverly Hills,15 Lee Avenue,2026-08-15,1700000,House,5,2,2,569
Beverly Hills,3/34-36 Hampden Street,2026-08-07,800000,Apartment,2,2,1,missing
Beverly Hills,13 Wiggins Avenue, 2026-08-05,1775000,House,3,1,2,461
Beverly Hills,9/442-444 King Georges Avenue,2026-07-30,570000,Apartment,2,2,1,missing
Beverly Hills,31 Cahill Street,2026-07-30,2125000,House,4,2,3,657
Beverly Hills,48 Cooloongatta Road,2026-07-25,1570000,Duplex,4,2,2,300
Beverly Hills,16/148B Stoney Creek Road,2026-07-18,743000,Apartment,2,1,1,185
Beverly Hills,10 Garden Glove,2026-07-14,1855000,House,4,2,2,461
Beverly Hills,9/23-25 Hampden Street,2026-07-02,890000,Apartment,3,2,1,1132
Beverly Hills,2/8 Hampden Street,2026-06-13,778000,Apartment,2,2,1,109
Beverly Hills,1/93 Edgabaston Road,2026-06-04,1889000,Townhouse,5,4,2,537
Beverly Hills,4/2-4 Hampden Street,2026-06-04,825000,Apartment,2,2,1,missing
Beverly Hills,29A Junction Road,2026-06-03,2370000,Semi-detached,5,3,2,missing
Beverly Hills,187 Stoney Creek Road,2026-06-03,1300000,House,3,2,1,347
Beverly Hills,2 Burrell Street,2026-05-30,2106000,House,3,1,3,581
Beverly Hills,38A Mountview Avenue,2026-05-28,1710000,House,3,1,1,missing
Beverly Hills,25 Tarrilli Street,2026-05-21,2388000,House,5,3,2,520
Beverly Hills,7 Bridge view Road,2026-05-20,1710000,House,4,2,2,461
Beverly Hills,72 Warraroong Street,2026-05-20,1705000,House,3,1,2,537
Beverly Hills,63 Stoney Creek Road,2026-05-15,1150000,House,2,1,1,480
Beverly Hills,6/35-39 Hampden Street,2026-05-12,820000,Apartment,2,1,1,119
Beverly Hills,3/11-17 Broadarrow Road,2026-05-10,1450000,Townhouse,4,2,2,308
Beverly Hills,1 Garden Grove,2026-05-07,1705000,House,3,2,2,531
Beverly Hills,78 Welfare Avenue,2026-05-06,2250000,House,3,1,2,632
Concord,38/29-45 Parramatta Road,2026-08-09,498000,Apartment,1,1,1,74
Concord,1/2 Durham Street,2026-08-02,2560888,Duplex,3,2,2,270
Concord,8/64 Majors Bay Road,2026-08-01,735000,Apartment,1,1,1,74
Concord,25 Marceau Drive,2026-07-31,3500000,House,4,2,0,missing
Concord,30 Addison Avenue,2026-07-31,3730000,House,5,2,5,695
Concord,12/164F Burwood Road,2026-07-28,2500000,Apartment,3,2,2,180
Concord,28 Melbourne Street,2026-07-28,3135000,Duplex,4,3,2,370
Concord,9 Spring Street,2026-07-21,3470000,House,5,3,3,474
Concord,19 La Mascotte Avenue ,2026-07-21,3900000,House,4,3,2,missing
Concord,13/1 Evelyn Avenue,2026-07-20,710000,Apartment,2,1,1,90
Concord,67 Gipps Street,2026-07-15,2470000,House,3,2,2,619
Concord,2 High Street,2026-07-14,3050000,House,5,3,2,486
Concord,44 Melbourne Street,2026-07-11,3300000,House,4,3,2,307
Concord,13 Creewood Street ,2026-07-08,2410000,House,3,1,2,512
Concord,6/247D Burwood Road,2026-07-04,1350000,Apartment,3,2,2,missing
Concord,16 Pitt Street,2026-07-31,3500000,House,5,2,3,607
Concord,5 Cormiston Avenue,2026-07-25,3550000,House,2,2,2,600
Concord,9/247L Burwood Road,2026-07-21,1700000,Apartment,3,2,2,missing
Concord,18 Gale Street,2026-07-17,2250000,House,3,1,2,417
Concord,79 Brays Road,2026-07-14,3160000,Duplex,5,3,2,missing
